name,texto,cluster_textclass
Ghoulraiser,"When Ghoulraiser enters the battlefield, return a Zombie card at random from your graveyard to your hand.",434
Tooth Collector,"When Tooth Collector enters the battlefield, target creature an opponent controls gets -1/-1 until end of turn.Delirium — At the beginning of each opponent’s upkeep, if there are four or more card types among cards in your graveyard, target creature that player controls gets -1/-1 until end of turn.",132
Diregraf Captain,"DeathtouchOther Zombie creatures you control get +1/+1.Whenever another Zombie you control dies, target opponent loses 1 life.",82
Citanul Woodreaders,"Kicker {2}{G} (You may pay an additional {2}{G} as you cast this spell.)When Citanul Woodreaders enters the battlefield, if it was kicked, draw two cards.",133
Gilt-Leaf Seer,"{G}, {T}: Look at the top two cards of your library, then put them back in any order.",337
Jaddi Lifestrider,"When Jaddi Lifestrider enters the battlefield, you may tap any number of untapped creatures you control. You gain 2 life for each creature tapped this way.",78
Nissa's Chosen,"If Nissa’s Chosen would die, put it on the bottom of its owner’s library instead.",178
Oakgnarl Warrior,"Vigilance, trample",33
Thicket Elemental,"Kicker {1}{G} (You may pay an additional {1}{G} as you cast this spell.)When Thicket Elemental enters the battlefield, if it was kicked, you may reveal cards from the top of your library until you reveal a creature card. If you do, put that card onto the battlefield and shuffle all other cards revealed this way into your library.",482
Woodborn Behemoth,"As long as you control eight or more lands, Woodborn Behemoth gets +4/+4 and has trample. (It can deal excess combat damage to the player or planeswalker it’s attacking.)",140
Bala Ged Scorpion,"When Bala Ged Scorpion enters the battlefield, you may destroy target creature with power 1 or less.",136
Blistergrub,"Swampwalk (This creature can’t be blocked as long as defending player controls a Swamp.)When Blistergrub dies, each opponent loses 2 life.",146
Desecration Demon,"FlyingAt the beginning of each combat, any opponent may sacrifice a creature. If a player does, tap Desecration Demon and put a +1/+1 counter on it.",373
Despoiler of Souls,"Despoiler of Souls can’t block.{B}{B}, Exile two other creature cards from your graveyard: Return Despoiler of Souls from your graveyard to the battlefield.",102
Fetid Imp,Flying{B}: Fetid Imp gains deathtouch until end of turn. (Any amount of damage it deals to a creature is enough to destroy it.),250
Giant Scorpion,Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.),250
Indulgent Tormentor,"FlyingAt the beginning of your upkeep, draw a card unless target opponent sacrifices a creature or pays 3 life.",255
Jhoira of the Ghitu,"{2}, Exile a nonland card from your hand: Put four time counters on the exiled card. If it doesn’t have suspend, it gains suspend. (At the beginning of your upkeep, remove a time counter from that card. When the last is removed, you may cast it without paying its mana cost. If it’s a creature, it has haste.)",458
Sage-Eye Avengers,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)Whenever Sage-Eye Avengers attacks, you may return target creature to its owner’s hand if its power is less than Sage-Eye Avengers’s power.",52
"Jori En, Ruin Diver","Whenever you cast your second spell each turn, draw a card.",448
Nivix Cyclops,"DefenderWhenever you cast an instant or sorcery spell, Nivix Cyclops gets +3/+0 until end of turn and can attack this turn as though it didn’t have defender.",411
Cloudcrown Oak,Reach (This creature can block creatures with flying.),225
Skarrgan Pit-Skulk,"Bloodthirst 1 (If an opponent was dealt damage this turn, this creature enters the battlefield with a +1/+1 counter on it.)Creatures with power less than Skarrgan Pit-Skulk’s power can’t block it.",516
Talara's Battalion,Cast this spell only if you’ve cast another green spell this turn.Trample,505
"Radha, Heir to Keld","Whenever Radha, Heir to Keld attacks, you may add {R}{R}.{T}: Add {G}.",179
Rubblebelt Raiders,"Whenever Rubblebelt Raiders attacks, put a +1/+1 counter on it for each attacking creature you control.",431
Master of Waves,"Protection from redElemental creatures you control get +1/+1.When Master of Waves enters the battlefield, create a number of 1/0 blue Elemental creature tokens equal to your devotion to blue. (Each {U} in the mana costs of permanents you control counts toward your devotion to blue.)",294
Inkfathom Divers,"Islandwalk (This creature can’t be blocked as long as defending player controls an Island.)When Inkfathom Divers enters the battlefield, look at the top four cards of your library, then put them back in any order.",47
Master of the Pearl Trident,Other Merfolk creatures you control get +1/+1 and have islandwalk. (They can’t be blocked as long as defending player controls an Island.),105
Merfolk Sovereign,Other Merfolk creatures you control get +1/+1.{T}: Target Merfolk creature can’t be blocked this turn.,105
Merrow Reejerey,"Other Merfolk creatures you control get +1/+1.Whenever you cast a Merfolk spell, you may tap or untap target permanent.",105
Rootwater Hunter,{T}: Rootwater Hunter deals 1 damage to any target.,514
Streambed Aquitects,{T}: Target Merfolk creature gets +1/+1 and gains islandwalk until end of turn. (It can’t be blocked as long as defending player controls an Island.){T}: Target land becomes an Island until end of turn.,6
Tidal Warrior,{T}: Target land becomes an Island until end of turn.,330
Tidebinder Mage,"When Tidebinder Mage enters the battlefield, tap target red or green creature an opponent controls. That creature doesn’t untap during its controller’s untap step for as long as you control Tidebinder Mage.",100
Wake Thrasher,"Whenever a permanent you control becomes untapped, Wake Thrasher gets +1/+1 until end of turn.",511
Warren Instigator,"Double strikeWhenever Warren Instigator deals damage to an opponent, you may put a Goblin creature card from your hand onto the battlefield.",479
Boggart Brute,Menace (This creature can’t be blocked except by two or more creatures.),234
Ember Hauler,"{1}, Sacrifice Ember Hauler: It deals 2 damage to any target.",386
Foundry Street Denizen,"Whenever another red creature enters the battlefield under your control, Foundry Street Denizen gets +1/+0 until end of turn.",97
Goblin Chieftain,Haste (This creature can attack and {T} as soon as it comes under your control.)Other Goblin creatures you control get +1/+1 and have haste.,481
Goblin Diplomats,{T}: Each creature attacks this turn if able.,533
Goblin Glory Chaser,"Renown 1 (When this creature deals combat damage to a player, if it isn’t renowned, put a +1/+1 counter on it and it becomes renowned.)As long as Goblin Glory Chaser is renowned, it has menace. (It can’t be blocked except by two or more creatures.)",234
Goblin Goon,Goblin Goon can’t attack unless you control more creatures than defending player.Goblin Goon can’t block unless you control more creatures than attacking player.,324
Goblin Rabblemaster,"Other Goblin creatures you control attack each combat if able.At the beginning of combat on your turn, create a 1/1 red Goblin creature token with haste.Whenever Goblin Rabblemaster attacks, it gets +1/+0 until end of turn for each other attacking Goblin.",135
Goblin Wardriver,"Battle cry (Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.)",84
"Dwynen, Gilt-Leaf Daen","ReachOther Elf creatures you control get +1/+1.Whenever Dwynen, Gilt-Leaf Daen attacks, you gain 1 life for each attacking Elf you control.",344
Dwynen's Elite,"When Dwynen’s Elite enters the battlefield, if you control another Elf, create a 1/1 green Elf Warrior creature token.",466
Elvish Branchbender,"{T}: Until end of turn, target Forest becomes an X/X Treefolk creature in addition to its other types, where X is the number of Elves you control.",453
Elvish Vanguard,"Whenever another Elf enters the battlefield, put a +1/+1 counter on Elvish Vanguard.",110
Ezuri's Archers,"Reach (This creature can block creatures with flying.)Whenever Ezuri’s Archers blocks a creature with flying, Ezuri’s Archers gets +3/+0 until end of turn.",518
Gladehart Cavalry,"When Gladehart Cavalry enters the battlefield, support 6. (Put a +1/+1 counter on each of up to six other target creatures.)Whenever a creature you control with a +1/+1 counter on it dies, you gain 2 life.",78
Kujar Seedsculptor,"When Kujar Seedsculptor enters the battlefield, put a +1/+1 counter on target creature you control.",431
Llanowar Empath,"When Llanowar Empath enters the battlefield, scry 2, then reveal the top card of your library. If it’s a creature card, put it into your hand. (To scry 2, look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)",32
Regal Force,"When Regal Force enters the battlefield, draw a card for each green creature you control.",238
Sylvan Advocate,"VigilanceAs long as you control six or more lands, Sylvan Advocate and land creatures you control get +2/+2.",403
"Yeva, Nature's Herald",Flash (You may cast this spell any time you could cast an instant.)You may cast green creature spells as though they had flash.,220
Barrage Ogre,"{T}, Sacrifice an artifact: Barrage Ogre deals 2 damage to any target.",389
Ghirapur Gearcrafter,"When Ghirapur Gearcrafter enters the battlefield, create a 1/1 colorless Thopter artifact creature token with flying. (A creature with flying can’t be blocked except by creatures with flying or reach.)",38
Pia and Kiran Nalaar,"When Pia and Kiran Nalaar enters the battlefield, create two 1/1 colorless Thopter artifact creature tokens with flying.{2}{R}, Sacrifice an artifact: Pia and Kiran Nalaar deals 2 damage to any target.",38
Reclusive Artificer,"Haste (This creature can attack and {T} as soon as it comes under your control.)When Reclusive Artificer enters the battlefield, you may have it deal damage to target creature equal to the number of artifacts you control.",481
Neurok Replica,"{1}{U}, Sacrifice Neurok Replica: Return target creature to its owner’s hand.",384
Boros Mastiff,"Battalion — Whenever Boros Mastiff and at least two other creatures attack, Boros Mastiff gains lifelink until end of turn. (Damage dealt by a creature with lifelink also causes its controller to gain that much life.)",16
Haazda Snare Squad,"Whenever Haazda Snare Squad attacks, you may pay {W}. If you do, tap target creature an opponent controls.",226
Maze Sentinel,VigilanceMulticolored creatures you control have vigilance.,403
Scion of Vitu-Ghazi,"When Scion of Vitu-Ghazi enters the battlefield, if you cast it from your hand, create a 1/1 white Bird creature token with flying, then populate. (Create a token that’s a copy of a creature token you control.)",352
Steeple Roc,"Flying, first strike",63
Sunspire Gatekeepers,"When Sunspire Gatekeepers enters the battlefield, if you control two or more Gates, create a 2/2 white Knight creature token with vigilance.",267
Aetherling,{U}: Exile Aetherling. Return it to the battlefield under its owner’s control at the beginning of the next end step.{U}: Aetherling can’t be blocked this turn.{1}: Aetherling gets +1/-1 until end of turn.{1}: Aetherling gets -1/+1 until end of turn.,86
Maze Glider,FlyingMulticolored creatures you control have flying.,305
Murmuring Phantasm,Defender,284
Opal Lake Gatekeepers,"When Opal Lake Gatekeepers enters the battlefield, if you control two or more Gates, you may draw a card.",238
Blood Scrivener,"If you would draw a card while you have no cards in hand, instead you draw two cards and you lose 1 life.",31
Hired Torturer,"Defender{3}{B}, {T}: Target opponent loses 2 life, then reveals a card at random from their hand.",410
Maze Abomination,Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)Multicolored creatures you control have deathtouch.,250
Rakdos Drake,FlyingUnleash (You may have this creature enter the battlefield with a +1/+1 counter on it. It can’t block as long as it has a +1/+1 counter on it.),104
Ubul Sar Gatekeepers,"When Ubul Sar Gatekeepers enters the battlefield, if you control two or more Gates, target creature an opponent controls gets -2/-2 until end of turn.",132
Maze Rusher,HasteMulticolored creatures you control have haste.,98
Riot Piker,First strikeRiot Piker attacks each combat if able.,500
Rubblebelt Maaka,"Bloodrush — {R}, Discard Rubblebelt Maaka: Target attacking creature gets +3/+3 until end of turn.",286
Smelt-Ward Gatekeepers,"When Smelt-Ward Gatekeepers enters the battlefield, if you control two or more Gates, gain control of target creature an opponent controls until end of turn. Untap that creature. It gains haste until end of turn.",98
Battering Krasis,"TrampleEvolve (Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)",474
Maze Behemoth,TrampleMulticolored creatures you control have trample.,303
Renegade Krasis,"Evolve (Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)Whenever Renegade Krasis evolves, put a +1/+1 counter on each other creature you control with a +1/+1 counter on it.",431
Saruli Gatekeepers,"When Saruli Gatekeepers enters the battlefield, if you control two or more Gates, you gain 7 life.",391
Skylasher,"FlashThis spell can’t be countered.Reach, protection from blue",237
Thrashing Mossdog,"Reach (This creature can block creatures with flying.)Scavenge {4}{G}{G} ({4}{G}{G}, Exile this card from your graveyard: Put a number of +1/+1 counters equal to this card’s power on target creature. Scavenge only as a sorcery.)",518
Beetleform Mage,{G}{U}: Beetleform Mage gets +2/+2 and gains flying until end of turn. Activate only once each turn.,433
Blaze Commando,"Whenever an instant or sorcery spell you control deals damage, create two 1/1 red and white Soldier creature tokens with haste.",275
Boros Battleshaper,"At the beginning of each combat, up to one target creature attacks or blocks this combat if able and up to one target creature can’t attack or block this combat.",504
Bronzebeak Moa,"Whenever another creature enters the battlefield under your control, Bronzebeak Moa gets +3/+3 until end of turn.",97
Council of the Absolute,"As Council of the Absolute enters the battlefield, choose a noncreature, nonland card name.Your opponents can’t cast spells with the chosen name.Spells with the chosen name you cast cost {2} less to cast.",69
Deputy of Acquittals,"Flash (You may cast this spell any time you could cast an instant.)When Deputy of Acquittals enters the battlefield, you may return another target creature you control to its owner’s hand.",536
"Exava, Rakdos Blood Witch","First strike, hasteUnleash (You may have this creature enter the battlefield with a +1/+1 counter on it. It can’t block as long as it has a +1/+1 counter on it.)Each other creature you control with a +1/+1 counter on it has haste.",98
Feral Animist,"{3}: Feral Animist gets +X/+0 until end of turn, where X is its power.",99
Fluxcharger,"FlyingWhenever you cast an instant or sorcery spell, you may switch Fluxcharger’s power and toughness until end of turn.",315
Goblin Test Pilot,Flying{T}: Goblin Test Pilot deals 2 damage to any target chosen at random.,364
Haunter of Nightveil,Creatures your opponents control get -1/-0.,132
Korozda Gorgon,"Deathtouch{2}, Remove a +1/+1 counter from a creature you control: Target creature gets -1/-1 until end of turn.",96
Lavinia of the Tenth,"Protection from redWhen Lavinia of the Tenth enters the battlefield, detain each nonland permanent your opponents control with mana value 4 or less. (Until your next turn, those permanents can’t attack or block and their activated abilities can’t be activated.)",294
Maw of the Obzedat,Sacrifice a creature: Creatures you control get +1/+1 until end of turn.,317
"Mirko Vosk, Mind Drinker","FlyingWhenever Mirko Vosk, Mind Drinker deals combat damage to a player, that player reveals cards from the top of their library until they reveal four land cards, then puts those cards into their graveyard.",446
Rot Farm Skeleton,"Rot Farm Skeleton can’t block.{2}{B}{G}, Mill four cards: Return Rot Farm Skeleton from your graveyard to the battlefield. Activate only as a sorcery.",459
Sin Collector,"When Sin Collector enters the battlefield, target opponent reveals their hand. You choose an instant or sorcery card from it and exile that card.",418
Sire of Insanity,"At the beginning of each end step, each player discards their hand.",440
Species Gorger,"At the beginning of your upkeep, return a creature you control to its owner’s hand.",28
Spike Jester,Haste,68
"Tajic, Blade of the Legion","IndestructibleBattalion — Whenever Tajic, Blade of the Legion and at least two other creatures attack, Tajic gets +5/+5 until end of turn.",376
Trostani's Summoner,"When Trostani’s Summoner enters the battlefield, create a 2/2 white Knight creature token with vigilance, a 3/3 green Centaur creature token, and a 4/4 green Rhino creature token with trample.",142
"Varolz, the Scar-Striped","Each creature card in your graveyard has scavenge. The scavenge cost is equal to its mana cost. (Exile a creature card from your graveyard and pay its mana cost: Put a number of +1/+1 counters equal to that card’s power on target creature. Scavenge only as a sorcery.)Sacrifice another creature: Regenerate Varolz, the Scar-Striped.",127
Viashino Firstblade,"HasteWhen Viashino Firstblade enters the battlefield, it gets +2/+2 until end of turn.",138
Woodlot Crawler,Forestwalk (This creature can’t be blocked as long as defending player controls a Forest.)Protection from green,17
Zhur-Taa Ancient,"Whenever a player taps a land for mana, that player adds one mana of any type that land produced.",107
Aurora Eidolon,"{W}, Sacrifice Aurora Eidolon: Prevent the next 3 damage that would be dealt to any target this turn.Whenever you cast a multicolored spell, you may return Aurora Eidolon from your graveyard to your hand.",260
Beacon Hawk,"FlyingWhenever Beacon Hawk deals combat damage to a player, you may untap target creature.{W}: Beacon Hawk gets +0/+1 until end of turn.",392
Guardian of the Guildpact,Protection from monocolored,463
Haazda Exonerator,"{T}, Sacrifice Haazda Exonerator: Destroy target Aura.",357
Haazda Shield Mate,"At the beginning of your upkeep, sacrifice Haazda Shield Mate unless you pay {W}{W}.{W}: The next time a source of your choice would deal damage to you this turn, prevent that damage.",274
Mistral Charger,Flying,21
Soulsworn Jury,"Defender (This creature can’t attack.){1}{U}, Sacrifice Soulsworn Jury: Counter target creature spell.",176
Stoic Ephemera,"Defender (This creature can’t attack.)FlyingWhen Stoic Ephemera blocks, sacrifice it at end of combat.",11
Enigma Eidolon,"{U}, Sacrifice Enigma Eidolon: Target player mills three cards.Whenever you cast a multicolored spell, you may return Enigma Eidolon from your graveyard to your hand.",211
Silkwing Scout,"Flying{G}, Sacrifice Silkwing Scout: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.",525
Crypt Champion,"Double strikeWhen Crypt Champion enters the battlefield, each player puts a creature card with mana value 3 or less from their graveyard onto the battlefield.When Crypt Champion enters the battlefield, sacrifice it unless {R} was spent to cast it.",130
Drekavac,"When Drekavac enters the battlefield, sacrifice it unless you discard a noncreature card.",152
Enemy of the Guildpact,Protection from multicolored,463
Entropic Eidolon,"{B}, Sacrifice Entropic Eidolon: Target player loses 1 life and you gain 1 life.Whenever you cast a multicolored spell, you may return Entropic Eidolon from your graveyard to your hand.",277
Ragamuffyn,"Hellbent — {T}, Sacrifice a creature or land: Draw a card. Activate only if you have no cards in hand.",304
Slaughterhouse Bouncer,"Hellbent — When Slaughterhouse Bouncer dies, if you have no cards in hand, target creature gets -3/-3 until end of turn.",148
Slithering Shade,Defender (This creature can’t attack.){B}: Slithering Shade gets +1/+1 until end of turn.Hellbent — Slithering Shade can attack as though it didn’t have defender as long as you have no cards in hand.,477
Unliving Psychopath,"{B}: Unliving Psychopath gets +1/-1 until end of turn.{B}, {T}: Destroy target creature with power less than Unliving Psychopath’s power.",15
Vesper Ghoul,"{T}, Pay 1 life: Add one mana of any color.",212
Flame-Kin War Scout,"When another creature enters the battlefield, sacrifice Flame-Kin War Scout. If you do, Flame-Kin War Scout deals 4 damage to that creature.",186
Gnat Alley Creeper,Gnat Alley Creeper can’t be blocked by creatures with flying.,399
Kill-Suit Cultist,"Kill-Suit Cultist attacks each combat if able.{B}, Sacrifice Kill-Suit Cultist: The next time damage would be dealt to target creature this turn, destroy that creature instead.",313
Ogre Gatecrasher,"When Ogre Gatecrasher enters the battlefield, destroy target creature with defender.",258
Sandstorm Eidolon,"{R}, Sacrifice Sandstorm Eidolon: Target creature can’t block this turn.Whenever you cast a multicolored spell, you may return Sandstorm Eidolon from your graveyard to your hand.",260
Squealing Devil,"Fear (This creature can’t be blocked except by artifact creatures and/or black creatures.)When Squealing Devil enters the battlefield, you may pay {X}. If you do, target creature gets +X/+0 until end of turn.When Squealing Devil enters the battlefield, sacrifice it unless {B} was spent to cast it.",123
Stormscale Anarch,"{2}{R}, Discard a card at random: Stormscale Anarch deals 2 damage to any target. If the discarded card was multicolored, Stormscale Anarch deals 4 damage instead.",326
Utvara Scalper,FlyingUtvara Scalper attacks each combat if able.,91
Whiptail Moloch,"When Whiptail Moloch enters the battlefield, it deals 3 damage to target creature you control.",186
Simic Ragworm,{U}: Untap Simic Ragworm.,371
Sprouting Phytohydra,"Defender (This creature can’t attack.)Whenever Sprouting Phytohydra is dealt damage, you may create a token that’s a copy of Sprouting Phytohydra.",477
Stomp and Howl,"When Indrik Stomphowler enters the battlefield, destroy target artifact or enchantment.",289
Verdant Eidolon,"{G}, Sacrifice Verdant Eidolon: Add three mana of any one color.Whenever you cast a multicolored spell, you may return Verdant Eidolon from your graveyard to your hand.",212
Assault Zeppelid,"Flying, trample",121
Azorius Aethermage,"Whenever a permanent is returned to your hand, you may pay {1}. If you do, draw a card.",422
Azorius First-Wing,"Flying, protection from enchantments",210
Dread Slag,TrampleDread Slag gets -4/-4 for each card in your hand.,511
Gobhobbler Rats,"Hellbent — As long as you have no cards in hand, Gobhobbler Rats gets +1/+0 and has “{B}: Regenerate Gobhobbler Rats.” (The next time it would be destroyed, instead tap it, remove it from combat, and heal all damage on it.)",402
Hellhole Rats,"HasteWhen Hellhole Rats enters the battlefield, target player discards a card. Hellhole Rats deals damage to that player equal to that card’s mana value.",402
Isperia the Inscrutable,"FlyingWhenever Isperia the Inscrutable deals combat damage to a player, choose a card name. That player reveals their hand. If a card with the chosen name is revealed this way, search your library for a creature card with flying, reveal it, put it into your hand, then shuffle.",446
Jagged Poppet,"Whenever Jagged Poppet is dealt damage, discard that many cards.Hellbent — Whenever Jagged Poppet deals combat damage to a player, if you have no cards in hand, that player discards cards equal to the damage.",74
"Lyzolda, the Blood Witch","{2}, Sacrifice a creature: Lyzolda, the Blood Witch deals 2 damage to any target if the sacrificed creature was red. Draw a card if the sacrificed creature was black.",229
"Momir Vig, Simic Visionary","Whenever you cast a green creature spell, you may search your library for a creature card, reveal it, then shuffle and put that card on top.Whenever you cast a blue creature spell, reveal the top card of your library. If it’s a creature card, put that card into your hand.",281
Omnibian,{T}: Target creature becomes a Frog with base power and toughness 3/3 until end of turn.,435
Pride of the Clouds,"FlyingPride of the Clouds gets +1/+1 for each other creature with flying on the battlefield.Forecast — {2}{W}{U}, Reveal Pride of the Clouds from your hand: Create a 1/1 white and blue Bird creature token with flying. (Activate only during your upkeep and only once each turn.)",56
Rakdos Augermage,First strike{T}: Reveal your hand and discard a card of target opponent’s choice. Then that player reveals their hand and discards a card of your choice. Activate only as a sorcery.,8
Rakdos Ickspitter,{T}: Rakdos Ickspitter deals 1 damage to target creature and that creature’s controller loses 1 life.,514
Rakdos the Defiler,"Flying, trampleWhenever Rakdos the Defiler attacks, sacrifice half the non-Demon permanents you control, rounded up.Whenever Rakdos deals combat damage to a player, that player sacrifices half the non-Demon permanents they control, rounded up.",483
Sky Hussar,"FlyingWhen Sky Hussar enters the battlefield, untap all creatures you control.Forecast — Tap two untapped white and/or blue creatures you control, Reveal Sky Hussar from your hand: Draw a card. (Activate only during your upkeep and only once each turn.)",1
Minister of Impediments,({W/U} can be paid with either {W} or {U}.){T}: Tap target creature.,226
Simic Guildmage,({G/U} can be paid with either {G} or {U}.){1}{G}: Move a +1/+1 counter from target creature onto another target creature with the same controller.{1}{U}: Attach target Aura attached to a permanent to another permanent with the same controller.,368
Hit // Run,"As long as there are two or more instant and/or sorcery cards in your graveyard, Ghitu Lavarunner gets +1/+0 and has haste.",98
Bronze Bombshell,"When a player other than Bronze Bombshell’s owner controls it, that player sacrifices it. If the player does, Bronze Bombshell deals 7 damage to the player.",493
Transguild Courier,Transguild Courier is all colors.,207
Walking Archive,"Defender (This creature can’t attack.)Walking Archive enters the battlefield with a +1/+1 counter on it.At the beginning of each player’s upkeep, that player draws a card for each +1/+1 counter on Walking Archive.{2}{W}{U}: Put a +1/+1 counter on Walking Archive.",176
Elgaud Inquisitor,"Lifelink (Damage dealt by this creature also causes you to gain that much life.)When Elgaud Inquisitor dies, create a 1/1 white Spirit creature token with flying.",94
Gavony Ironwright,"Fateful hour — As long as you have 5 or less life, other creatures you control get +1/+4.",375
Loyal Cathar,"VigilanceWhen Loyal Cathar dies, return it to the battlefield transformed under your control at the beginning of the next end step.",248
Niblis of the Mist,"FlyingWhen Niblis of the Mist enters the battlefield, you may tap target creature.",27
Niblis of the Urn,"FlyingWhenever Niblis of the Urn attacks, you may tap target creature.",27
Silverclaw Griffin,"Flying, first strike",63
Beguiler of Wills,{T}: Gain control of target creature with power less than or equal to the number of creatures you control.,421
Bone to Ash,"FlyingThreshold — As long as seven or more cards are in your graveyard, Boneshard Slasher gets +2/+2 and has “When Boneshard Slasher becomes the target of a spell or ability, sacrifice it.”",373
Geralf's Mindcrusher,"When Geralf’s Mindcrusher enters the battlefield, target player mills five cards.Undying (When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner’s control with a +1/+1 counter on it.)",14
Headless Skaab,"As an additional cost to cast this spell, exile a creature card from your graveyard.Headless Skaab enters the battlefield tapped.",0
Nephalia Seakite,Flash (You may cast this spell any time you could cast an instant.)Flying,220
Niblis of the Breath,"Flying{U}, {T}: You may tap or untap target creature.",216
Shriekgeist,"FlyingWhenever Shriekgeist deals combat damage to a player, that player mills two cards.",263
Soul Seizer,"FlyingWhen Soul Seizer deals combat damage to a player, you may transform it. If you do, attach it to target creature that player controls.",520
Stormbound Geist,"FlyingStormbound Geist can block only creatures with flying.Undying (When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner’s control with a +1/+1 counter on it.)",345
Black Cat,"When Black Cat dies, target opponent discards a card at random.",74
Chosen of Markov,"{T}, Tap an untapped Vampire you control: Transform Chosen of Markov.",279
Falkenrath Torturer,"Sacrifice a creature: Falkenrath Torturer gains flying until end of turn. If the sacrificed creature was a Human, put a +1/+1 counter on Falkenrath Torturer.",153
Geralf's Messenger,"Geralf’s Messenger enters the battlefield tapped.When Geralf’s Messenger enters the battlefield, target opponent loses 2 life.Undying (When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner’s control with a +1/+1 counter on it.)",524
Highborn Ghoul,Intimidate (This creature can’t be blocked except by artifact creatures and/or creatures that share a color with it.),312
Ravenous Demon,Sacrifice a Human: Transform Ravenous Demon. Activate only as a sorcery.,304
Sightless Ghoul,"Sightless Ghoul can’t block.Undying (When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner’s control with a +1/+1 counter on it.)",459
Skirsdag Flayer,"{3}{B}, {T}, Sacrifice a Human: Destroy target creature.",58
Vengeful Vampire,"FlyingUndying (When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner’s control with a +1/+1 counter on it.)",148
Afflicted Deserter,"At the beginning of each upkeep, if no spells were cast last turn, transform Afflicted Deserter.",49
Erdwal Ripper,"HasteWhenever Erdwal Ripper deals combat damage to a player, put a +1/+1 counter on it.",22
Forge Devil,"When Forge Devil enters the battlefield, it deals 1 damage to target creature and 1 damage to you.",4
Hinterland Hermit,"At the beginning of each upkeep, if no spells were cast last turn, transform Hinterland Hermit.",49
Markov Blademaster,"Double strikeWhenever Markov Blademaster deals combat damage to a player, put a +1/+1 counter on it.",119
Markov Warlord,"HasteWhen Markov Warlord enters the battlefield, up to two target creatures can’t block this turn.",90
Mondronen Shaman,"At the beginning of each upkeep, if no spells were cast last turn, transform Mondronen Shaman.",49
Moonveil Dragon,Flying{R}: Each creature you control gets +1/+0 until end of turn.,433
Nearheath Stalker,"Undying (When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner’s control with a +1/+1 counter on it.)",148
Pyreheart Wolf,"Whenever Pyreheart Wolf attacks, creatures you control gain menace until end of turn. (They can’t be blocked except by two or more creatures.)Undying (When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner’s control with a +1/+1 counter on it.)",48
Briarpack Alpha,"Flash (You may cast this spell any time you could cast an instant.)When Briarpack Alpha enters the battlefield, target creature gets +2/+2 until end of turn.",50
Dawntreader Elk,"{G}, Sacrifice Dawntreader Elk: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.",525
Deranged Outcast,"{1}{G}, Sacrifice a Human: Put two +1/+1 counters on target creature.",58
Ghoultree,This spell costs {1} less to cast for each creature card in your graveyard.,199
Gravetiller Wurm,TrampleMorbid — Gravetiller Wurm enters the battlefield with four +1/+1 counters on it if a creature died this turn.,417
Kessig Recluse,Reach (This creature can block creatures with flying.)Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.),518
Lambholt Elder,"At the beginning of each upkeep, if no spells were cast last turn, transform Lambholt Elder.",49
Scorned Villager,"{T}: Add {G}.At the beginning of each upkeep, if no spells were cast last turn, transform Scorned Villager.",49
Somberwald Dryad,Forestwalk (This creature can’t be blocked as long as defending player controls a Forest.),17
Strangleroot Geist,"HasteUndying (When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner’s control with a +1/+1 counter on it.)",148
Ulvenwald Bear,"Morbid — When Ulvenwald Bear enters the battlefield, if a creature died this turn, put two +1/+1 counters on target creature.",148
Village Survivors,"VigilanceFateful hour — As long as you have 5 or less life, other creatures you control have vigilance.",403
Wolfbitten Captive,"{1}{G}: Wolfbitten Captive gets +2/+2 until end of turn. Activate only once each turn.At the beginning of each upkeep, if no spells were cast last turn, transform Wolfbitten Captive.",317
Young Wolf,"Undying (When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner’s control with a +1/+1 counter on it.)",148
Drogskol Captain,FlyingOther Spirit creatures you control get +1/+1 and have hexproof. (They can’t be the targets of spells or abilities your opponents control.),210
Huntmaster of the Fells,"Whenever this creature enters the battlefield or transforms into Huntmaster of the Fells, create a 2/2 green Wolf creature token and you gain 2 life.At the beginning of each upkeep, if no spells were cast last turn, transform Huntmaster of the Fells.",78
